hw	find	pos	ipa	gloss	lbl	ex	exg	etym	see	infl
trácaïc		고명	τasa	자사				τásai(s)		
náiu		명	nja	고양이				nía(b)		
gádecuï		고명	haδek	하적				hádiek		
tácuï		3동	tak	주다, 받다				ták		
díntic		명	δint	국가, 나라				dímiti(s)		
táriu		명	tar	왕				tári(b)		
taridíntic		명	tariδint	왕국				ták+dímiti(s)		
épret		명	epre	황제				empere		
félci		명	fels	도시				félis		
félci		명	fels	저자, 시장				félis		
ité		대명	iτe	나, 본인				ité		
icé		대명	ise	너, 당신, 동지, 그대				isé		
éti		대명	et	그, 그것, 것, 이				ét		
ételi		2동	eτel	배우다, 공부하다				étiel		
ételi		2동	eτel	연구하다				étiel		
áitrici		2동	jaτis	관리하다, 경영하다				íaτis		
áitriccuec		명	jaτiske	관리자, 경영자, 경영인				íaτis-ge(s)		
pófoc		명	pofo	경험, 요령				pófe(s)		
pófocili		관	pofosιl	전문적인				pófe(s)-ili		
pefeïláitriccuecc		명	pefeiljaτiske	전문경영인				pófe(s)+ íaτis-ge(s)		
uá		2동	va	하다				vá		
ná		1동	na	(유정물이) 있다				ná		
guá		1동	ga	(무정물이) 있다				gá		
cuórit		고명	korι	한국				kório(t)		
cuácto		명	kasto	갈래, 범주, 부문				kálsto		
écule		명	ekle	대학, 종합대학				ékole		
oculocuácto		명	oklokasto	단과대학				ékole+kálsto		
cuádimi		2동	kadιm	짜다				kádim		
cuádimi		2동	kadιm	뜨개질하다				kádim		
cuádilici		명	kadιlιs	짜임, 조직, 구조				kádim-lis		
ýicei		관	jysje	위의				íusie		
ládi		관	laδ	아래의				ládor		
lacuádilici		명	lakadιlιs	기반, 토대				ládor+kádim-lis		
lacuádilici		명	lakadιlιs	하부구조	사회			ládor+kádim-lis		
iücicuádilici		명	ιusιkadιlιs	지붕				íusie+kádim-lis		
iücicuádilici		명	ιusιkadιlιs	상부구조	사회			íusie+kádim-lis		
pácoi		3동	pasjo	보다, 보이다				pásio		
léncua		1동	lenka	완벽하다				lénika		
léncualci		명	lenkals	완벽, 완전성				lénika-lis		
léncuafti		명	lenkaft	완벽주의				lénika-vit		
guélgafti		명	gelhaft	사회				gélhaft		
guolgafcuádilici		명	golhafkadilis	사회구조				gélhaft+kádim-lis		
féci		관	fes	밝은				fés		
mádi		관	mad	어두운				mád		
fítaui		명	fitav	달, 위성				fítab		
fecfítaui		고명	fesfitav	명월				fés+fítab		
matfítaui		고명	matfitav	암월				mád+fítab		
ánoici		관	anjos	반대편의, 다른편의				ánios		
cécai		3동	sesja	나누다, 가르다, 나뉘다				sébsia		
ócnici		명	osnιs	몫				ósmos		
íci		2동	is	되다				íris		
íccuï		2동	isk	되도록 하다				íris-k		
encíccuï		2동	ensisk	분배하다, 배분하다				ósmos+íris		
encícti		명	ensist	배분주의				ósmos+íris-vit		
dóti		3동	dot	짓다, 지어지다				dót		
dótini		명	dotιn	구조, 형성, 형태, 조성				dót-ini		
gulaftótini		명	glaftotιn	사회구성체	사회			gélhaft+dót-ini		
ételicuï		2동	eτelik	가르치다				étiel-k		
cuílci		3동	kils	묶다, 묶이다				kílesn		
cuáctoïci		2동	kastois	나누다				kálsto+íris		
uótau		3동	vota	모으다, 모이다				vóta(b)		
céleip		3동	selje	맺다, 맺이다				sélie(p)		
délti		명	δelt	힘				démlet		
cécaiïce		관	sesjaise	전기의				sébsia-ise		
céleipice		관	seljepise	자기의				sélie(p)-ise		
paiïcedélti		명	pjaiseδelt	전기력				sébsia-ise+démlet		
leipicedélti		명	ljepiseδelt	자기력				sélie(p)-ise+démlet		
guílci		3동	gils	쌓다, 쌓이다				gílits		
guílcec		명	gilse	저장소, 창고, 곳집				gílits-te(s)		
tácueïni		명	takein	주고받음, 수수				ták-ge-ini		
tácueïni		명	takein	일	물리			ták-ge-ini		
tácuediti		명	takeδit	에너지				ták-ge-dit		
tomócili		명	tomosιl	닫힌				tomósil		
crépatili		명	srepaτil	열린				sorépatil		
cícei		2동	sisje	쓰다, 적다				síkie		
cíceiditi		명	sisjeδit	필기구				síkie-dit		
uáultif		명	vaultι	금고				váulti(f)		
códiu		명	sodιv	방향				sédiu		
páldi		명	pald	양				pálid		
blógue		명	blogu	블로그						
cuúdia		3동	kudιa	더하다, 더해지다				kútia		
cpádia		3동	spadιa	빼다, 빼지다				spátia		
éntati		3동	entat	곱하다, 곱해지다				éntat		
dópoiui		3동	dopjov	배하다, 배해지다				dópoiv		
dópoiui		3동	dopjov	실수배하다	수학			dópoiv		
dópoiuditi		명	dopjovδit	스칼라	수학			dópoiv-dit		
cuúdianauo		명	kudιanavo	벡터	수학			kútia-nave		
éyi		명	ejy	1, 하나, 일				óiu		
méui		명	mev	2, 둘, 이				móbil		
ífiu		명	ιfιv	3, 셋, 삼				ífrov		
býci		2동	bys	말하다, 주장하다				bús		
uícuonici		1동	vιkonιs	싸우다				víkons		
býcitediti		명	bysiτeδit	주장				bús-dit		
uícuonciti		명	vikonsit	싸움				víkons-dit		
býctifcuonciti		명	bysτifkonsit	논쟁, 토론				bús-dit+víkons-dit		
